subspace,n,radius,ratio1,ratio2,fd_err,h,triple
so,2,0.1,0.9999999999999999,0.7071067811863477,4.4172547332966213e-10,,
so,2,0.1,0.9999999999999999,0.7071067811863477,4.4172547332966213e-10,,
so,2,0.1,0.9999999999999999,0.7071067811863477,4.4172547332966213e-10,,
so,2,0.1,0.9999999999999999,0.7071067811863477,4.4172547332966213e-10,,
so,2,0.1,0.9999999999999999,0.7071067811864458,4.4172547605467186e-10,,
so,2,1.0,1.0000000000000002,0.7071067811838073,4.3878062544623334e-10,,
so,2,1.0,1.0,0.7071067811846365,4.3973741043026587e-10,,
so,2,1.0,0.9999999999999999,0.7071067811839296,4.388869208731263e-10,,
so,2,1.0,1.0000000000000002,0.7071067811838074,4.3878062544623334e-10,,
so,2,1.0,0.9999999999999999,0.7071067811853844,4.3993051400534956e-10,,
so,2,10.0,1.0,0.7071067811860966,4.3885084826761827e-10,,
so,2,10.0,1.0,0.7071067811859074,4.3745058982591407e-10,,
so,2,10.0,1.0,0.7071067811859074,4.3745058982591407e-10,,
so,2,10.0,1.0,0.7071067811859074,4.3745058982591407e-10,,
so,2,10.0,1.0,0.7071067811860966,4.3885084826761827e-10,,
so,2,100.0,0.9999999999999999,0.7071067814281364,6.667984352542103e-10,,
so,2,100.0,0.9999999999999999,0.7071067814281365,6.667984352542103e-10,,
so,2,100.0,0.9999999999999999,0.7071067814281364,6.667984352542103e-10,,
so,2,100.0,0.9999999999999998,0.7071067814301976,6.684183607807356e-10,,
so,2,100.0,0.9999999999999999,0.7071067814281365,6.667984352542103e-10,,
so,2,1000.0,1.000000000000001,0.7071067811639291,7.902042112348531e-10,,
so,2,1000.0,1.000000000000001,0.7071067811639291,7.902042112348531e-10,,
so,2,1000.0,1.000000000000001,0.7071067811639291,7.902042112348531e-10,,
so,2,1000.0,1.0000000000000009,0.7071067811628419,7.883535560634283e-10,,
so,2,1000.0,1.0000000000000184,0.7071067809881714,7.228188860162996e-10,,
so,4,0.1,0.9998317931364319,0.6096630108975658,3.6507061742339757e-10,,
so,4,0.1,0.999943557667015,0.36104045924337125,1.730828957224125e-10,,
so,4,0.1,0.9997628762342538,0.5238670348485965,2.650975834936169e-10,,
so,4,0.1,0.9998242419196095,0.35878658691035026,1.3124549358646792e-10,,
so,4,0.1,0.999838527495241,0.45267517376187943,2.401961257633709e-10,,
so,4,1.0,0.9783485399077667,0.4349832028383716,2.1050007295282453e-10,,
so,4,1.0,0.9931888761356344,0.32565199489586766,9.870149138066469e-11,,
so,4,1.0,0.9828041644792618,0.2721060701764191,1.0585112511745495e-10,,
so,4,1.0,0.985603835543857,0.49381591093887744,2.7172550271376273e-10,,
so,4,1.0,0.9733934822800682,0.4134148043288983,1.8161190159351254e-10,,
so,4,10.0,0.70814453419671,0.23999510720732936,9.932339534362834e-11,,
so,4,10.0,0.5764735187626937,0.11289165030383995,2.967433006964661e-11,,
so,4,10.0,0.4016578772935835,0.12710381975817167,3.426424996268319e-11,,
so,4,10.0,0.5697439689206993,0.13420189705507396,3.568259988306906e-11,,
so,4,10.0,0.38715761278513394,0.060293319555372524,1.9521330095430786e-11,,
so,4,100.0,0.6853554196152798,0.2500738219884848,7.45647735068079e-11,,
so,4,100.0,0.8056556771377003,0.2253764190766854,8.266079002109598e-11,,
so,4,100.0,0.9119310562785137,0.06730080994913304,5.784365245794653e-11,,
so,4,100.0,0.21648069719035223,0.04170646543241471,1.826133482895096e-11,,
so,4,100.0,0.21312747399548324,0.05781786175691802,3.883204752284836e-12,,
so,4,1000.0,0.7620079679220509,0.12010920977739196,2.0929109515935402e-10,,
so,4,1000.0,0.18596718177505417,0.05704097279304935,1.0903122487805126e-10,,
so,4,1000.0,0.48824642908602545,0.14544407597279457,3.3215144299540224e-10,,
so,4,1000.0,0.5117514374408886,0.15722625673200494,2.3004022549382528e-10,,
so,4,1000.0,0.5631880438428796,0.08159421569210405,2.208895382344117e-10,,
so,8,0.1,0.9999095098535586,0.24576515375787142,5.4079703574683813e-11,,
so,8,0.1,0.9998965083251729,0.2893794481569707,6.527354246161847e-11,,
so,8,0.1,0.9999410423607269,0.31303216574512394,7.925574156099071e-11,,
so,8,0.1,0.9999269804002204,0.24925197413541408,5.171292965169986e-11,,
so,8,0.1,0.9998882283262347,0.33781513138228103,9.619459199711537e-11,,
so,8,1.0,0.9919484208316355,0.24992160478626105,6.185298668198188e-11,,
so,8,1.0,0.9915398741586671,0.2343121417433731,4.8176233750083094e-11,,
so,8,1.0,0.9894173925240038,0.31190125957618475,8.195961077406696e-11,,
so,8,1.0,0.9884681182041672,0.2095537067411519,3.523868544067149e-11,,
so,8,1.0,0.9859511193406101,0.2751227169504538,6.291453106570654e-11,,
so,8,10.0,0.7280903871428174,0.12613944126318308,2.0610176267078256e-11,,
so,8,10.0,0.597288625693969,0.13538815495283057,2.3230850783219953e-11,,
so,8,10.0,0.5399573932159805,0.11567879608674206,2.0414723903076414e-11,,
so,8,10.0,0.5686289303910789,0.12675603077836084,2.6634199509214847e-11,,
so,8,10.0,0.713287898132811,0.13785463820173338,2.8844839671327037e-11,,
so,8,100.0,0.3608797038247173,0.07223387550269976,1.6616902418700594e-11,,
so,8,100.0,0.39040218817180344,0.02452927236763588,1.3047442464517617e-11,,
so,8,100.0,0.2944802058162091,0.043640776336102305,7.035091449086388e-12,,
so,8,100.0,0.28902471302459803,0.017585514394368007,1.4065489127805297e-11,,
so,8,100.0,0.2850365508520405,0.043195578952541884,6.240404371501926e-12,,
so,8,1000.0,0.36309572231737586,0.005390646108090922,7.483565344350792e-11,,
so,8,1000.0,0.3876067452449061,0.03173671805662,1.2572925423745086e-10,,
so,8,1000.0,0.22677534106497227,0.037820210584772355,8.480171010137932e-11,,
so,8,1000.0,0.3771538532353172,0.06090153051434724,1.0209073795439463e-10,,
so,8,1000.0,0.35319493465041374,0.022206202916586544,8.275347446045927e-11,,
so,16,0.1,0.9999530868059703,0.21289148044809234,3.699763829218845e-11,,
so,16,0.1,0.9999478817876627,0.19266702288626905,2.7094022484221865e-11,,
so,16,0.1,0.9999535140258446,0.17181698949369315,2.6192494555376938e-11,,
so,16,0.1,0.9999498227750226,0.21568944807580628,3.381610173163722e-11,,
so,16,0.1,0.9999382671959538,0.16524413606382693,2.3891520620958637e-11,,
so,16,1.0,0.9954538976621493,0.17398795509004106,2.1353231023221784e-11,,
so,16,1.0,0.9958775048405196,0.18219786030203675,2.5440006973485103e-11,,
so,16,1.0,0.9935602926178801,0.19746236463693384,2.8134407872326193e-11,,
so,16,1.0,0.995349928426399,0.18872056490556308,2.5796944160631765e-11,,
so,16,1.0,0.9952100510329221,0.17589158409856534,2.081471253906839e-11,,
so,16,10.0,0.7004691236008622,0.1274238117029173,1.8681162487854846e-11,,
so,16,10.0,0.733465127749879,0.12941786343660103,2.0962883892730564e-11,,
so,16,10.0,0.797610225283464,0.1261413487516113,1.5253947843770834e-11,,
so,16,10.0,0.7839931612785652,0.13108610658996095,1.676213488453959e-11,,
so,16,10.0,0.7509487211637299,0.14016592936105454,2.1771960659119594e-11,,
so,16,100.0,0.2031062364339505,0.019392620994161197,1.2842772930371008e-11,,
so,16,100.0,0.40179035432103444,0.03307167002739132,2.0549105894710394e-11,,
so,16,100.0,0.2840442398475241,0.020805513358519545,1.4031633651547838e-11,,
so,16,100.0,0.34846864239854486,0.017836884026495945,1.6712408706138938e-11,,
so,16,100.0,0.37405194307322304,0.029389160790468844,1.69824559216467e-11,,
so,16,1000.0,0.20450609962992164,0.011385524405698372,4.627705036769528e-11,,
so,16,1000.0,0.23863593790669707,0.01218316452598877,7.789419971110661e-11,,
so,16,1000.0,0.28346736842287307,0.028334525950437856,1.0749570383180419e-10,,
so,16,1000.0,0.4039476911542944,0.0359703715311718,1.0708651632905841e-10,,
so,16,1000.0,0.22618634852142,0.005133184369218397,5.5291136797808024e-11,,
so,32,0.1,0.9999726833661756,0.12845275014241653,9.990446115751165e-12,,
so,32,0.1,0.9999760075438019,0.1268582868428492,9.604053226938558e-12,,
