part,schedule,c,run,tail_mean_gradsq,predicted_floor,naive_floor,running_min_grad,weighted_tail_ratio,raw_tail_ratio,tail_f_std,tail_grad_median
A_quadratic,const,0.05,0,0.06007388869861436,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,1,0.06006015973267807,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,2,0.059502738534532265,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,3,0.06052665764695945,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,4,0.05911336256710598,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,5,0.06046598109135232,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,6,0.05908741558545433,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,7,0.060541141183417864,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,8,0.059716636595562075,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,9,0.05942877370637807,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,10,0.05982710682045557,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,11,0.06027839684084595,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,12,0.059374393317296055,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,13,0.060441817706913675,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,14,0.06048348955637997,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,15,0.061022454882301576,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,16,0.059338160716781746,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,17,0.06057017148196551,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,18,0.05992326226905527,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,19,0.05982195021689662,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,20,0.06114606803325711,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,21,0.06075041783519263,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,22,0.06043100193074157,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,23,0.059874067713121905,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,24,0.06040665871400242,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,25,0.0606548706974177,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,26,0.059518733296731616,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,27,0.06062866301558546,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,28,0.06028232436516611,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.05,29,0.05992135895987504,0.060124544560127044,0.0560652389875048,,,,,
A_quadratic,const,0.3,0,0.591973128521289,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,1,0.5912117591932086,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,2,0.5940856010272413,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,3,0.5934116655609661,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,4,0.5924326212275624,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,5,0.5924571502334623,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,6,0.5934756340227726,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,7,0.5912911432336504,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,8,0.592638505934269,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,9,0.5928495392663392,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,10,0.5927283314303339,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,11,0.5923219487651112,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,12,0.5923504858858768,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,13,0.5932787582063461,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,14,0.5932011214070677,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,15,0.5931363805296485,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,16,0.5944146987732905,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,17,0.5897130785795767,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,18,0.5951765329558357,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,19,0.5915269542731446,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,20,0.5930793976818306,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,21,0.5911466120657034,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,22,0.5912705043557581,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,23,0.5926417548933479,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,24,0.5945613637201176,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,25,0.5956273078164394,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,26,0.5942114265152145,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,27,0.5912433162361722,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,28,0.5933463017847854,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,const,0.3,29,0.5929380003077158,0.5923500578073039,0.33639143392502874,,,,,
A_quadratic,rm,0.5,0,0.0002526934808925144,,,,,,,
A_quadratic,rm,0.5,1,0.0002206859151639442,,,,,,,
A_quadratic,rm,0.5,2,0.00020252116334530733,,,,,,,
A_quadratic,rm,0.5,3,0.00019713117770787025,,,,,,,
A_quadratic,rm,0.5,4,0.00023533160287089627,,,,,,,
A_quadratic,rm,0.5,5,0.0001734273793784564,,,,,,,
A_quadratic,rm,0.5,6,0.0001990125362686502,,,,,,,
A_quadratic,rm,0.5,7,0.00024573753599338124,,,,,,,
A_quadratic,rm,0.5,8,0.000273809989262591,,,,,,,
A_quadratic,rm,0.5,9,0.00020211708604842251,,,,,,,
A_quadratic,rm,0.5,10,0.00022577278596981016,,,,,,,
A_quadratic,rm,0.5,11,0.00022137205662510682,,,,,,,
A_quadratic,rm,0.5,12,0.00019355084496959027,,,,,,,
A_quadratic,rm,0.5,13,0.0002483031146397621,,,,,,,
A_quadratic,rm,0.5,14,0.00025413009122464197,,,,,,,
A_quadratic,rm,0.5,15,0.00023366928861748133,,,,,,,
A_quadratic,rm,0.5,16,0.00020604284659272304,,,,,,,
A_quadratic,rm,0.5,17,0.00019870372999148233,,,,,,,
A_quadratic,rm,0.5,18,0.00022575435020091123,,,,,,,
A_quadratic,rm,0.5,19,0.00019801272745046818,,,,,,,
A_quadratic,rm,0.5,20,0.00021138236776458878,,,,,,,
A_quadratic,rm,0.5,21,0.0002532699781139062,,,,,,,
A_quadratic,rm,0.5,22,0.00032444007762737074,,,,,,,
A_quadratic,rm,0.5,23,0.00023432920374614148,,,,,,,
A_quadratic,rm,0.5,24,0.0001883353984436334,,,,,,,
A_quadratic,rm,0.5,25,0.00021457648655654282,,,,,,,
A_quadratic,rm,0.5,26,0.00019136591247786425,,,,,,,
A_quadratic,rm,0.5,27,0.00019382547502584934,,,,,,,
A_quadratic,rm,0.5,28,0.00021863746358837294,,,,,,,
A_quadratic,rm,0.5,29,0.00021827866624969013,,,,,,,
B_nonconvex,rm,0.5,0,,,,0.06266484496373846,0.0060175783819299495,0.0012273362829353094,0.006968407395005138,0.07138350367798584
B_nonconvex,rm,0.5,1,,,,0.041590780623755805,0.0030263118016028287,0.0006172420269150244,0.0039787006424360245,0.0540433864032751
B_nonconvex,rm,0.5,2,,,,0.09000069902667107,0.012180676547751219,0.002484352563258113,0.014298646810941463,0.1031958835974537
B_nonconvex,rm,0.5,3,,,,0.14657457471872481,0.029863232331817494,0.006090860183330322,0.035954953949360095,0.16311898041030176
B_nonconvex,rm,0.5,4,,,,0.044782393053397776,0.0035542022279025616,0.0007249097684034297,0.004374059901402029,0.055275125248883894
B_nonconvex,rm,0.5,5,,,,0.08871649436440115,0.012774316656635564,0.00260543051162806,0.014685044173245542,0.10479051018406907
B_nonconvex,rm,0.5,6,,,,0.039636631905323585,0.003212608322858609,0.0006552387866428996,0.0038585465045992587,0.051894421673523004
B_nonconvex,rm,0.5,7,,,,0.04777983223495851,0.004840435565682798,0.0009872479954415915,0.005040662640508652,0.060332333053012666
B_nonconvex,rm,0.5,8,,,,0.037760570702917745,0.003180096963285544,0.0006486078183897231,0.0038353658938679288,0.05190355076929713
B_nonconvex,rm,0.5,9,,,,0.0536113538836165,0.005374162820419049,0.001096106207724514,0.006316872335930536,0.06701639748148716
B_nonconvex,rm,0.5,10,,,,0.06147553341793502,0.006693845149762314,0.0013652666410335866,0.00841110070565718,0.07663833518280622
B_nonconvex,rm,0.5,11,,,,0.04507165621388097,0.003884367599552095,0.0007922498035928559,0.004650040491761956,0.05831837589477089
B_nonconvex,rm,0.5,12,,,,0.02438561136748998,0.0011007443240712016,0.00022450616534128173,0.0013311072112388738,0.030792345729286862
B_nonconvex,rm,0.5,13,,,,0.023870077549137343,0.001177284299142898,0.00024011714413343978,0.001223266458482091,0.03158813409858902
B_nonconvex,rm,0.5,14,,,,0.02266892882051501,0.0009523744801984043,0.0001942448739843874,0.0012599071850437457,0.030319457755249406
B_nonconvex,rm,0.5,15,,,,0.030822142557913747,0.0016894641674876428,0.00034458058372837633,0.001949157654642482,0.03787304662967417
B_nonconvex,rm,0.5,16,,,,0.03604514264240027,0.0024269667719115833,0.000495000511433329,0.0026390782284464423,0.044319622849257764
B_nonconvex,rm,0.5,17,,,,0.04678005825080331,0.0039520418640345825,0.0008060525453186194,0.004825158049212279,0.059019846036734915
B_nonconvex,rm,0.5,18,,,,0.028721627026714335,0.0016181441008471479,0.00033003424964952224,0.001909855233255757,0.03620433778859389
B_nonconvex,rm,0.5,19,,,,0.05184459179929422,0.004667025059580303,0.0009518794480835912,0.00516359958146839,0.0630658952140444
B_nonconvex,rm,0.5,20,,,,0.024084551961870003,0.0015215631501426874,0.0003103357434537535,0.0017198518627505777,0.03379886126111589
B_nonconvex,rm,0.5,21,,,,0.04798499506294728,0.004488597852751348,0.0009154877019516954,0.005351391793666624,0.06190987106566713
B_nonconvex,rm,0.5,22,,,,0.03953631576492578,0.00316966855744594,0.0006464808563382517,0.003654199470830913,0.05225574447805201
B_nonconvex,rm,0.5,23,,,,0.05085426412431491,0.005304154886630378,0.0010818274942988298,0.005997582765723463,0.06531410241852849
B_nonconvex,rm,0.5,24,,,,0.05872691272179097,0.006075664332079545,0.0012391834064163175,0.007095391312450289,0.0725193051284926
B_nonconvex,rm,0.5,25,,,,0.18892350338825437,0.04406418595776526,0.008987265436603902,0.05627268858454577,0.20710728734958816
B_nonconvex,rm,0.5,26,,,,0.04622716181002044,0.003966295081996718,0.0008089596103277012,0.004331010048213308,0.05859718676811772
B_nonconvex,rm,0.5,27,,,,0.08137100236513603,0.009615033905300559,0.0019610679287643605,0.012485083879375159,0.09492625013782618
B_nonconvex,rm,0.5,28,,,,0.032468460690386274,0.0021958962191823447,0.00044787170723958045,0.002630906522211656,0.043611601167388235
B_nonconvex,rm,0.5,29,,,,0.046549379510290985,0.004068266190545114,0.0008297574850522578,0.004970347278132165,0.05949844352002527
B_nonconvex,sqrt,0.1,0,,,,0.04787428248402373,0.005967330764856532,0.0024845243597762467,0.013145687593582062,0.06180279947050128
B_nonconvex,sqrt,0.1,1,,,,0.018022348796268323,0.001092863764729088,0.0004550186259788261,0.0016485010871938955,0.024699514478474193
B_nonconvex,sqrt,0.1,2,,,,0.015216006533514757,0.00101854110999534,0.00042407406241336477,0.0015755979555861547,0.023396802272627623
B_nonconvex,sqrt,0.1,3,,,,0.01776458927963218,0.001285604605098204,0.0005352671209744486,0.0023625830972778842,0.0276893245201371
B_nonconvex,sqrt,0.1,4,,,,0.015435261294762213,0.0010419158762218152,0.00043380624894402855,0.0019857913661281545,0.023998918191383
B_nonconvex,sqrt,0.1,5,,,,0.01293596380962668,0.0009212538268414758,0.00038356807499337017,0.0013598521390050654,0.02324818854664181
B_nonconvex,sqrt,0.1,6,,,,0.012222648233614845,0.0004933751654169025,0.00020541891597597754,0.0005329106044458796,0.01745956073057449
B_nonconvex,sqrt,0.1,7,,,,0.014683224678360382,0.001101604061070215,0.0004586576867292511,0.002184920522924838,0.025626837407233635
B_nonconvex,sqrt,0.1,8,,,,0.019792933715808248,0.0013163429691120721,0.0005480651737691575,0.002324617574879106,0.02813730131203941
B_nonconvex,sqrt,0.1,9,,,,0.020669980220592063,0.0017185406232855397,0.0007155219326811746,0.003421422022162997,0.03153546008783045
B_nonconvex,sqrt,0.1,10,,,,0.0108593990831461,0.0004970247024450192,0.00020693841673864044,0.0005522496053801937,0.018469710918847887
B_nonconvex,sqrt,0.1,11,,,,0.03003894164230173,0.0026610316651222753,0.0011079322153665124,0.006135826335056631,0.04375875491621951
B_nonconvex,sqrt,0.1,12,,,,0.0179770279878908,0.0011437591118375445,0.0004762091271715763,0.0019318221368982396,0.02672957925469885
B_nonconvex,sqrt,0.1,13,,,,0.013628987828821763,0.0008175283610148544,0.00034038152195476457,0.0013034059771155147,0.023262093240323613
B_nonconvex,sqrt,0.1,14,,,,0.008402248494869152,0.00035510776391091,0.00014785067638253168,0.00023412079150055904,0.01577217608719018
B_nonconvex,sqrt,0.1,15,,,,0.012778853000276386,0.0007083932098686664,0.00029494262268552225,0.0008615743136536133,0.019762015068114296
B_nonconvex,sqrt,0.1,16,,,,0.013374516269438088,0.001091220325183156,0.00045433437270938525,0.002220632542360769,0.026052306577916788
B_nonconvex,sqrt,0.1,17,,,,0.011678185797752356,0.0006520891791977495,0.000271500192348104,0.0008739694546094935,0.019029833619966
B_nonconvex,sqrt,0.1,18,,,,0.013111239102921753,0.0010166639704911858,0.0004232925071404048,0.0014962824572656633,0.02418494826382548
B_nonconvex,sqrt,0.1,19,,,,0.01159558950325962,0.0006052975118178359,0.0002520182762249682,0.0006489926718823094,0.019626483359301415
B_nonconvex,sqrt,0.1,20,,,,0.010832385930768136,0.0006832349413368956,0.00028446786714069876,0.0010231602293871796,0.021840097948185283
B_nonconvex,sqrt,0.1,21,,,,0.017043728036102,0.0010637189511700969,0.0004428840549114903,0.0016782974509733034,0.025537201408381983
B_nonconvex,sqrt,0.1,22,,,,0.015335510473960824,0.0009592844605359394,0.0003994022962817378,0.0017466320523748893,0.023507507171776444
B_nonconvex,sqrt,0.1,23,,,,0.01730849584978548,0.0011372478823167918,0.0004734981481771359,0.0017923389859920954,0.025754435977669417
B_nonconvex,sqrt,0.1,24,,,,0.010986822343741078,0.00042924745455697215,0.00017871906204689584,0.00023249256867196672,0.017622972069914183
B_nonconvex,sqrt,0.1,25,,,,0.023011837427588555,0.0015424872904633285,0.000642221354708756,0.003443165553456944,0.033020599374605525
B_nonconvex,sqrt,0.1,26,,,,0.010303588869492458,0.00037701023397686376,0.00015696986594356826,0.0001491890406535161,0.016058765030055176
B_nonconvex,sqrt,0.1,27,,,,0.016701363615285632,0.0009235347872385674,0.00038451776286782725,0.0018285365976559447,0.024484617879235213
B_nonconvex,sqrt,0.1,28,,,,0.015848847942654617,0.0011686915103377672,0.00048658984073722387,0.0015077632430398355,0.023015561937122828
B_nonconvex,sqrt,0.1,29,,,,0.015341689774553299,0.0008655176030605168,0.0003603620535471863,0.0014164151884318349,0.022212418837192452
B_nonconvex,const,0.02,0,,,,0.02989734166277264,0.11085805726469951,0.11085805726469951,0.0011364249546264435,0.08256248121191626
B_nonconvex,const,0.02,1,,,,0.03446749976702708,0.11688872184748006,0.11688872184748005,0.001063566185662232,0.0802760253792948
B_nonconvex,const,0.02,2,,,,0.027756202387264683,0.121469063583772,0.121469063583772,0.0011274592476219023,0.08381337388627613
B_nonconvex,const,0.02,3,,,,0.03201839995694543,0.12241601642883684,0.12241601642883684,0.0010071015793093631,0.08311485861004562
B_nonconvex,const,0.02,4,,,,0.03019123144158698,0.1352482291497198,0.1352482291497198,0.001125577527857192,0.08161898671307055
B_nonconvex,const,0.02,5,,,,0.030794986795305748,0.12210070908430559,0.12210070908430559,0.0011321310467326848,0.08215248730711198
B_nonconvex,const,0.02,6,,,,0.03347057092026938,0.13207064994067622,0.13207064994067622,0.001124379371283393,0.08231962230584236
B_nonconvex,const,0.02,7,,,,0.03558365669441887,0.12337665805235899,0.123376658052359,0.0011704647634014054,0.08373865179402173
B_nonconvex,const,0.02,8,,,,0.03404958623226048,0.12985613270949584,0.12985613270949584,0.0010578145060554985,0.08142009695895215
B_nonconvex,const,0.02,9,,,,0.03282199269389366,0.12425244200715328,0.12425244200715328,0.0011129779007590763,0.08148616694421848
B_nonconvex,const,0.02,10,,,,0.030994287679265153,0.11536546991006832,0.11536546991006832,0.0012177176738836293,0.08340891327604005
B_nonconvex,const,0.02,11,,,,0.03359656837679943,0.11571053288778736,0.11571053288778736,0.0011420571390473755,0.08288048477942951
B_nonconvex,const,0.02,12,,,,0.03459203364906587,0.11997596420961217,0.11997596420961217,0.0011058659159949424,0.08449564245437689
B_nonconvex,const,0.02,13,,,,0.03311211519658856,0.124554245113921,0.124554245113921,0.0010205139580884213,0.08293759827597492
B_nonconvex,const,0.02,14,,,,0.03250785009375484,0.15055608407476243,0.1505560840747624,0.0011483164645574588,0.0841349144408397
B_nonconvex,const,0.02,15,,,,0.03497120324377567,0.14446368451460023,0.14446368451460023,0.0010212649571586742,0.07992122137622099
B_nonconvex,const,0.02,16,,,,0.027204567990841443,0.15636499032399553,0.15636499032399553,0.0011796497610427105,0.08246573263452206
B_nonconvex,const,0.02,17,,,,0.031639358982575305,0.1116663987172427,0.11166639871724271,0.0011246869326383402,0.08234555588040231
B_nonconvex,const,0.02,18,,,,0.032067870364552366,0.16369043219631005,0.16369043219631005,0.0011299906347213373,0.08148650723758322
B_nonconvex,const,0.02,19,,,,0.031216594978658464,0.12738877659896677,0.12738877659896677,0.0011420386040071717,0.08342892004882918
B_nonconvex,const,0.02,20,,,,0.029409637135674786,0.1166490550503753,0.11664905505037529,0.0011303961001849774,0.08189527845306355
B_nonconvex,const,0.02,21,,,,0.030043355646203227,0.11402342381900414,0.11402342381900414,0.001134237531013444,0.08313611400114224
B_nonconvex,const,0.02,22,,,,0.027591321904123983,0.11478244487985427,0.11478244487985427,0.001184388738447777,0.0805278636572355
B_nonconvex,const,0.02,23,,,,0.032588724395532995,0.13462156831427866,0.13462156831427863,0.0010581968094863386,0.0836185092262745
B_nonconvex,const,0.02,24,,,,0.02740140287310885,0.12910406763397758,0.12910406763397755,0.0010877087424317206,0.08234583691340236
B_nonconvex,const,0.02,25,,,,0.02927683643365769,0.13588251193603357,0.13588251193603357,0.0011467222247877448,0.08320536051401074
B_nonconvex,const,0.02,26,,,,0.028401655793847846,0.13399877470569113,0.13399877470569113,0.0012027987815359793,0.0836648544604977
B_nonconvex,const,0.02,27,,,,0.03313135784572807,0.1318441134332843,0.1318441134332843,0.0010742774314341555,0.08036663263784763
B_nonconvex,const,0.02,28,,,,0.029377968250151328,0.1461260229062283,0.1461260229062283,0.0011079919245257353,0.08304919240592086
B_nonconvex,const,0.02,29,,,,0.029642810140376685,0.11807792908216654,0.11807792908216655,0.0010087110002274002,0.08144651285425591
