kind,mu,R0,R,muR,k_log10,sin_yk_err,k_exact,log10_L_F,log10_floor,ratio,satisfied,fitted_slope,expected,rel_err,n,max_abs_d2F,bound_Lf_plus_Gf,t,rho,op_norm,op_norm_over_t,expm_equals_I_plus_tN
lower_bound,0.1,25.310242469692906,25.310242469692906,2.5310242469692907,0.0,0.0,True,-0.20982023726765703,-0.40364026328376995,1.5625000000000002,True,,,,,,,,,,,
lower_bound,0.1,25.310242469692906,37.96536370453936,3.7965363704539357,0.7781512503836436,0.0,True,1.1881197714043805,0.6955696007383261,3.108494982263583,True,,,,,,,,,,,
lower_bound,0.1,25.310242469692906,50.62048493938581,5.0620484939385815,1.380211241711606,0.0,True,2.3657832225927953,1.7947794647604225,3.7239492847295175,True,,,,,,,,,,,
lower_bound,0.1,25.310242469692906,75.93072740907871,7.593072740907871,2.4983105537896004,0.0,True,4.593669927206468,3.9931991928046147,3.9853891525392897,True,,,,,,,,,,,
lower_bound,0.1,25.310242469692906,126.55121234846453,12.655121234846455,4.697865493028046,0.0,True,8.992095076765398,8.390038648893,3.9999671794960054,True,,,,,,,,,,,
lower_bound,0.1,25.310242469692906,253.10242469692906,25.31024246969291,10.19391877185357,0.0,True,19.984197280437265,19.382137289113963,3.999999999957082,True,,,,,,,,,,,
lower_bound,0.1,25.310242469692906,1012.4096987877163,101.24096987877164,43.17021469252573,1.6678086589876414e-82,True,85.9367891217677,85.33472913043974,4.0,True,,,,,,,,,,,
lower_bound,0.1,25.310242469692906,3037.2290963631485,303.72290963631485,131.10700381429342,6.382305689065137e-81,True,261.8103673653031,261.2083073739751,4.0,True,,,,,,,,,,,
lower_bound,0.1,25.310242469692906,7593.072740907872,759.3072740907872,328.9647793382708,4.955540204263318e-84,True,657.5259184132577,656.9238584219298,4.0,True,,,,,,,,,,,
lower_bound,0.25,10.124096987877163,10.124096987877163,2.5310242469692907,0.0,0.0,True,0.5860597800764181,0.39223975406030526,1.5625000000000002,True,,,,,,,,,,,
lower_bound,0.25,10.124096987877163,15.186145481815744,3.796536370453936,0.7781512503836436,0.0,True,1.9839997887484557,1.4914496180824015,3.1084949822635815,True,,,,,,,,,,,
lower_bound,0.25,10.124096987877163,20.248193975754326,5.0620484939385815,1.380211241711606,0.0,True,3.1616632399368703,2.5906594821044977,3.723949284729517,True,,,,,,,,,,,
lower_bound,0.25,10.124096987877163,30.37229096363149,7.593072740907872,2.4983105537896004,0.0,True,5.389549944550544,4.7890792101486905,3.985389152539286,True,,,,,,,,,,,
lower_bound,0.25,10.124096987877163,50.62048493938582,12.655121234846455,4.697865493028046,0.0,True,9.787975094109473,9.185918666237075,3.9999671794959997,True,,,,,,,,,,,
lower_bound,0.25,10.124096987877163,101.24096987877164,25.31024246969291,10.19391877185357,0.0,True,20.78007729778134,20.178017306458038,3.9999999999570703,True,,,,,,,,,,,
lower_bound,0.25,10.124096987877163,404.96387951508655,101.24096987877164,43.17021469252574,6.402532129780334e-81,True,86.73266913911178,86.13060914778382,4.0,True,,,,,,,,,,,
lower_bound,0.25,10.124096987877163,1214.8916385452596,303.7229096363149,131.10700381429345,5.68256529236436e-82,True,262.6062473826472,262.00418739131925,4.0,True,,,,,,,,,,,
