kind,obj,eta_mult,init,T,min_grad_sq,bound,slack,rho_predicted,rho_empirical_1step,grows,predicted_grows,err
rate,quadratic,1.0,1.0,1000,1.7649218587659503e-13,0.25737938344020056,1458304695824.6787,,,,,
rate,quadratic,1.0,1.0,10000,1.7616259267976611e-31,0.025737938344020057,1.46103312584683e+29,,,,,
rate,quadratic,1.0,1.0,20000,1.7616259267976611e-31,0.012868969172010029,7.30516562923415e+28,,,,,
rate,quadratic,1.0,2.0,10,0.1677109120868499,30.65414658508781,182.77967845773452,,,,,
rate,quadratic,1.0,2.0,100,0.0013291243534333285,3.0654146585087805,2306.3415026519924,,,,,
rate,quadratic,1.0,2.0,1000,1.6156511531579156e-13,0.30654146585087805,1897324587994.871,,,,,
rate,quadratic,1.0,2.0,10000,2.2813862705391664e-31,0.030654146585087808,1.343663148189422e+29,,,,,
rate,quadratic,1.0,2.0,20000,2.2813862705391664e-31,0.015327073292543904,6.71831574094711e+28,,,,,
rate,quadratic,1.0,3.0,10,0.15787644140227008,21.354136058305198,135.2585342603127,,,,,
rate,quadratic,1.0,3.0,100,0.0012106375981627514,2.1354136058305198,1763.8751754209493,,,,,
rate,quadratic,1.0,3.0,1000,1.6864793975572558e-13,0.21354136058305198,1266196082159.9795,,,,,
rate,quadratic,1.0,3.0,10000,1.68482947026522e-31,0.021354136058305197,1.2674360482870532e+29,,,,,
rate,quadratic,1.0,3.0,20000,1.68482947026522e-31,0.010677068029152598,6.337180241435266e+28,,,,,
rate,quadratic,1.0,4.0,10,0.10381120590271103,25.149484413056676,242.26175001402132,,,,,
rate,quadratic,1.0,4.0,100,0.0009858289193386176,2.514948441305668,2551.1002892803353,,,,,
rate,quadratic,1.0,4.0,1000,1.1103634929835191e-13,0.2514948441305668,2264977601657.331,,,,,
rate,quadratic,1.0,4.0,10000,1.5707181210602764e-31,0.02514948441305668,1.6011456209647667e+29,,,,,
rate,quadratic,1.0,4.0,20000,1.5707181210602764e-31,0.01257474220652834,8.005728104823833e+28,,,,,
rate,quadratic,1.0,5.0,10,0.13051331758064563,27.305862940181573,209.2189781576043,,,,,
rate,quadratic,1.0,5.0,100,0.0010574889022856788,2.730586294018157,2582.1417965864325,,,,,
rate,quadratic,1.0,5.0,1000,1.4694986374000252e-13,0.27305862940181574,1858175451492.3313,,,,,
rate,quadratic,1.0,5.0,10000,1.965052277173563e-31,0.02730586294018157,1.3895743770978459e+29,,,,,
rate,quadratic,1.0,5.0,20000,1.965052277173563e-31,0.013652931470090786,6.947871885489229e+28,,,,,
rate,quadratic,1.0,6.0,10,0.17512805154626135,18.03175181324132,102.96324120569629,,,,,
rate,quadratic,1.0,6.0,100,0.001325694544377346,1.803175181324132,1360.1739472881738,,,,,
rate,quadratic,1.0,6.0,1000,1.6448494756808264e-13,0.1803175181324132,1096255437341.9321,,,,,
rate,quadratic,1.0,6.0,10000,1.614533027295086e-31,0.01803175181324132,1.1168400713022814e+29,,,,,
rate,quadratic,1.0,6.0,20000,1.614533027295086e-31,0.00901587590662066,5.584200356511407e+28,,,,,
