subspace,n,m,B,radius,lambda_max,bound,ratio,B_eff,ratio_eff,kind,random_dir_lambda_max,random_dir_ratio_eff
sym,32,2.0,2.0,0.01,1.0277088101803535,4.0,0.2569272025450884,1.4504084797432735,0.4885279537334711,random_features,,
sym,32,2.0,2.0,0.1,1.0277088003713017,4.0,0.25692720009282544,1.4504084797432735,0.4885279490706756,random_features,,
sym,32,2.0,2.0,1.0,1.0277078194667357,4.0,0.25692695486668393,1.4504084797432735,0.48852748279141855,random_features,,
sym,32,2.0,2.0,10.0,1.027609735313754,4.0,0.2569024338284385,1.4504084797432735,0.48848085786218265,random_features,,
sym,32,2.0,2.0,100.0,1.0178640135723072,4.0,0.2544660033930768,1.4504084797432735,0.48384816672161596,random_features,,
sym,32,2.0,2.0,1000.0,0.4436243205942975,4.0,0.11090608014857438,1.4504084797432735,0.21087965717477952,random_features,,
sym,32,2.0,2.0,10000.0,1.2172514069069697e-08,4.0,3.043128517267424e-09,1.4504084797432735,5.786282389571935e-09,random_features,,
sl,32,2.0,2.0,0.01,1.97902728083991,4.0,0.4947568202099775,1.9992752314314428,0.4951155994144818,random_features,,
sl,32,2.0,2.0,0.1,1.979027253299388,4.0,0.494756813324847,1.9992752314314428,0.49511559252435844,random_features,,
sl,32,2.0,2.0,1.0,1.9790244992498291,4.0,0.4947561248124573,1.9992752314314428,0.49511490351268517,random_features,,
sl,32,2.0,2.0,10.0,1.9787491200979883,4.0,0.4946872800244971,1.9992752314314428,0.4950460088010509,random_features,,
sl,32,2.0,2.0,100.0,1.9514672048376065,4.0,0.4878668012094016,1.9992752314314428,0.48822058402894447,random_features,,
