kind,n,radius,max_hess,bound,ratio,G_f,L_f
pullback,4,0.1,0.15396412420164696,1.9999999999999996,0.07698206210082349,0.9999999999999998,0.9999999999999998
pullback,4,1.0,0.15888340333732912,1.9999999999999996,0.07944170166866457,0.9999999999999998,0.9999999999999998
pullback,4,10.0,0.07973689145375595,1.9999999999999996,0.039868445726877984,0.9999999999999998,0.9999999999999998
pullback,4,100.0,0.10038124043161925,1.9999999999999996,0.05019062021580964,0.9999999999999998,0.9999999999999998
pullback,4,1000.0,0.053940182689440515,1.9999999999999996,0.026970091344720264,0.9999999999999998,0.9999999999999998
pullback,8,0.1,0.09072206728749012,2.0,0.04536103364374506,1.0000000000000002,1.0
pullback,8,1.0,0.09668519298132283,2.0,0.048342596490661416,1.0000000000000002,1.0
pullback,8,10.0,0.08257267858026118,2.0,0.04128633929013059,1.0000000000000002,1.0
pullback,8,100.0,0.038999615363052645,2.0,0.019499807681526322,1.0000000000000002,1.0
pullback,8,1000.0,0.04137460667735696,2.0,0.02068730333867848,1.0000000000000002,1.0
pullback,16,0.1,0.08046197522338142,2.0,0.04023098761169071,1.0,1.0
pullback,16,1.0,0.08220273570620429,2.0,0.041101367853102144,1.0,1.0
pullback,16,10.0,0.06687737529284732,2.0,0.03343868764642366,1.0,1.0
pullback,16,100.0,0.03940771275442988,2.0,0.01970385637721494,1.0,1.0
pullback,16,1000.0,0.03539477650524818,2.0,0.01769738825262409,1.0,1.0
pullback,32,0.1,0.06803466290335147,2.0,0.034017331451675736,1.0,1.0
pullback,32,1.0,0.06776758716884618,2.0,0.03388379358442309,1.0,1.0
pullback,32,10.0,0.0582936714415809,2.0,0.02914683572079045,1.0,1.0
pullback,32,100.0,0.025638403180826812,2.0,0.012819201590413406,1.0,1.0
pullback,32,1000.0,0.010133708048387605,2.0,0.005066854024193802,1.0,1.0
adversarial,2,1.2000000000000004,0.5713955805420219,2.0,0.28569779027101094,1.0,1.0
adversarial,3,0.9387433452857892,0.5500675162908981,2.0,0.27503375814544906,1.0,1.0
adversarial,4,1.4541755671392222,0.6314647021437794,2.0,0.3157323510718897,1.0,1.0
adversarial,6,2.67236119126879,0.6053875969208017,1.9999999999999996,0.3026937984604009,0.9999999999999999,0.9999999999999998
witness_2x2,2,39.9859464434253,0.5000014365504531,1.0,0.5000014365504531,1.0,0.0
