geom,arm,seed,auc,r_task,r_geo,rho,menv_orth,menv_sym,menv_cond,recon_err,status
so,baseline_ppo,0,6.713704934346789,0.1780085291798624,0.586620463552295,,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,so,0,8.815454174987243,0.15073275769883313,0.8915861921153342,1.0000009536743164,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,sl,0,8.149789780365655,0.14851365463769087,0.8113346121557679,2.5548354387283325,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,gl,0,8.082222509918326,0.1429209698766977,0.8109447027685743,2.1878273487091064,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,sym,0,6.874746424489942,0.14475676281222558,0.6562630531485502,457.34295654296875,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,baseline_ppo,1,6.609751381368921,0.16509764152315426,0.5929270551504568,,1.2212453270876722e-15,0.69949879324816,1.000000000000001,8.881784197001252e-16,ok
so,so,1,8.637363157472645,0.14211091551661115,0.8825667750574338,1.0000009536743164,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,sl,1,7.912941976538715,0.14451833735473682,0.7878767932986219,2.6555498838424683,1.2212453270876722e-15,0.69949879324816,1.000000000000001,1.7763568394002505e-15,ok
so,gl,1,7.99857012597992,0.1508490795934038,0.7890459691681433,2.5308685302734375,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,sym,1,6.722497149428358,0.15372531874847736,0.623293384283719,2657.0548095703125,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,baseline_ppo,2,6.985148040414234,0.1876666606013642,0.6071659775876441,,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,so,2,8.959823883444388,0.16312041866482918,0.8915004564837243,1.0000009536743164,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,sl,2,8.093276135727566,0.15016323117113292,0.8020608884177479,2.6312912702560425,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,gl,2,8.228918648615453,0.15791034646794255,0.8074048254632392,2.7458966970443726,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,sym,2,6.974489948844249,0.15612387553937485,0.6512341388817878,658.8802185058594,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,baseline_ppo,3,6.701079170320214,0.18061770641180486,0.5812988916776454,,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,so,3,8.915694648313288,0.15736889674741475,0.8943816577690342,1.0000009536743164,1.2212453270876722e-15,0.69949879324816,1.000000000000001,1.7763568394002505e-15,ok
so,sl,3,8.104568097697634,0.15299829995470648,0.7986130512556063,2.2880029678344727,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,gl,3,8.164379484219227,0.15726565610560223,0.7999141916900874,2.275259017944336,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,sym,3,7.037377270117616,0.1471704372739137,0.6731701818149537,181.57615661621094,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,baseline_ppo,4,6.579244193112503,0.17383934485548677,0.5754057025074027,,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,so,4,8.672215310057673,0.1559303936179546,0.8657032014588515,1.0000009536743164,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,sl,4,8.163989974252294,0.15203557424915162,0.8072512517512466,2.5134512186050415,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,gl,4,8.299701906120452,0.15688270828137407,0.8171401400555236,2.7359776496887207,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,sym,4,6.99065662323643,0.15152079720677053,0.6602558097422434,629.547119140625,1.2212453270876722e-15,0.69949879324816,1.000000000000001,8.881784197001252e-16,ok
so,baseline_ppo,5,6.79525124525395,0.18705034690614594,0.5832417153682561,,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,so,5,8.802217506344986,0.14973657462697346,0.8916683076657353,1.0000008344650269,1.2212453270876722e-15,0.69949879324816,1.000000000000001,1.7763568394002505e-15,ok
so,sl,5,8.209995780709352,0.1527896524569167,0.8133258924145872,2.299418807029724,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,gl,5,8.152714956340068,0.15470414175790395,0.8023072299798331,2.442693591117859,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,sym,5,6.945818705929936,0.14774410221182832,0.6604132025841314,438.6569061279297,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,baseline_ppo,6,6.9689582868252185,0.18769723659071333,0.6051935186039035,,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,so,6,8.53853597264219,0.15196311700987336,0.8553914577713235,1.0000008344650269,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,sl,6,8.155983541897164,0.14842902987940856,0.8125795459187589,2.90986704826355,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
so,gl,6,8.275015642780419,0.15688094088218157,0.8147160543120466,2.9601266384124756,1.2212453270876722e-15,0.69949879324816,1.000000000000001,0.0,ok
