draw,m_env_seed,arm,seed,auc,r_task,r_geo,rho,recon_err,status
0,900000,baseline_ppo,0,6.29428139562721,0.1895738076094536,0.515665323318479,,0.0,ok
0,900000,so,0,8.665763756867907,0.1408876700275641,0.8871099711391144,1.0000010132789612,1.7763568394002505e-15,ok
0,900000,sl,0,8.094818954414622,0.15103763562481407,0.8000668869587283,2.2517589330673218,0.0,ok
0,900000,gl,0,8.165781256256095,0.14712661843333016,0.8150372738694152,2.238743543624878,0.0,ok
0,900000,sym,0,6.647721790420095,0.13758801920106747,0.6371909396403779,2399.0213623046875,0.0,ok
0,900000,baseline_ppo,1,6.164592054981861,0.17917253276959286,0.5151396024982755,,0.0,ok
0,900000,so,1,8.83984010836181,0.15821144095411974,0.8835312589431491,1.0000008940696716,0.0,ok
0,900000,sl,1,8.043392772756889,0.14917148318905094,0.7976155415878631,2.6881531476974487,0.0,ok
0,900000,gl,1,8.211938397724298,0.15307183416456416,0.8128031159426086,2.40874981880188,0.0,ok
0,900000,sym,1,6.740657865060857,0.15129156313134237,0.6290947491664285,2034.751708984375,0.0,ok
0,900000,baseline_ppo,2,5.951027406953356,0.16671847814134733,0.5068529861964285,,8.881784197001252e-16,ok
0,900000,so,2,8.684472206057539,0.15003779593797378,0.8769301230227575,1.0000008344650269,0.0,ok
0,900000,sl,2,8.051929316372162,0.15624119487059845,0.788121749430274,2.723389983177185,0.0,ok
0,900000,gl,2,7.924914897120478,0.1435932116882335,0.7903911874551945,2.6565213203430176,8.881784197001252e-16,ok
0,900000,sym,2,6.631731781468907,0.1436691144134627,0.6262918627987616,3809.8890380859375,0.0,ok
1,900001,baseline_ppo,0,5.916479405592947,0.1797045623965058,0.4823442056108887,,8.881784197001252e-16,ok
1,900001,so,0,8.82324801704334,0.1495670336866079,0.8935241719652898,1.0000008344650269,0.0,ok
1,900001,sl,0,7.971019813113459,0.1546948799297226,0.7790028776447289,2.578106999397278,0.0,ok
1,900001,gl,0,7.933363183217535,0.14462802530360883,0.7894946170279759,2.2817920446395874,8.881784197001252e-16,ok
1,900001,sym,0,6.548450669230315,0.15053283930367753,0.605321562486561,4990.899658203125,0.0,ok
1,900001,baseline_ppo,1,5.763331787826613,0.1693885241687532,0.47868926368833825,,0.0,ok
1,900001,so,1,8.78136718773938,0.14022994253715243,0.9029971172673628,1.0000009536743164,0.0,ok
1,900001,sl,1,7.977614503760952,0.14496456900932267,0.794715940364295,2.3036322593688965,8.881784197001252e-16,ok
1,900001,gl,1,7.861951782768374,0.13665741991618538,0.7927483607869905,2.113940715789795,0.0,ok
1,900001,sym,1,6.27724028993459,0.14743041860370826,0.5760272996118757,18984.666015625,8.881784197001252e-16,ok
1,900001,baseline_ppo,2,5.681159556818114,0.16097728426511912,0.48081454172354804,,0.0,ok
1,900001,so,2,8.814719094780518,0.1442930125488279,0.9007220986466856,1.0000009536743164,0.0,ok
1,900001,sl,2,7.943303986790537,0.15240585145632213,0.7794586747156457,2.334681510925293,8.881784197001252e-16,ok
1,900001,gl,2,7.958705765334632,0.1492923643675894,0.7863738258151957,2.411989212036133,0.0,ok
1,900001,sym,2,6.444120221625171,0.14298438403241823,0.603656557387455,2594.1083984375,0.0,ok
