arm,theta_lr,seed,auc,r_task,r_geo,rho,orth_err,recon_err,status
baseline_ppo,,0,6.468694921088812,0.1888382065015251,0.5387519277841163,,,0.0,ok
so_expm,0.0003,0,7.058434053590499,0.16989814391525065,0.6417003622094479,1.000001072883606,2.4793851776117037e-06,0.0,ok
so_expm,0.003,0,7.8663355713548695,0.14581730585439054,0.7794282206692114,1.0000008344650269,1.809258524110291e-06,0.0,ok
so_expm,0.01,0,8.148911273643025,0.14057944181205764,0.8225197045369074,1.0000008344650269,9.82772355495598e-07,0.0,ok
so_expm,0.03,0,8.801884045656061,0.14927651753457025,0.8923004203623781,1.0000008344650269,2.143579993285627e-06,0.0,ok
so_expm,0.1,0,8.359119078208186,0.14803034929707665,0.8382907951849823,1.0000009536743164,1.5641515771491754e-06,0.0,ok
so_cayley,0.0003,0,6.887999518582309,0.1590255450079704,0.6365483415594945,1.000001311302185,2.6058601185208197e-07,0.0,ok
so_cayley,0.003,0,8.010237751202576,0.15892999012886852,0.7776512420379246,1.000001311302185,5.333776555982439e-07,1.7763568394002505e-15,ok
so_cayley,0.01,0,8.048631091392384,0.15015366898146404,0.7955680933299164,1.0000009536743164,1.8956721969942691e-07,1.7763568394002505e-15,ok
so_cayley,0.03,0,8.247083570903486,0.14221708146834475,0.8320212921328223,1.0000007152557373,2.1601486133171477e-07,0.0,ok
so_cayley,0.1,0,8.370346695847136,0.14613509747629744,0.841934050486423,1.0000007152557373,3.4069816445825296e-07,0.0,ok
baseline_ppo,,1,6.414925951869051,0.17890876808510978,0.5474137968316984,,,8.881784197001252e-16,ok
so_expm,0.0003,1,6.79367627899512,0.15512251052894308,0.6305559533945595,1.000001072883606,1.9283890548837945e-06,0.0,ok
so_expm,0.003,1,7.956174211643248,0.15682757016753818,0.773841678197061,1.0000010132789612,1.6374246989414587e-06,8.881784197001252e-16,ok
so_expm,0.01,1,8.604752377931524,0.1601798915496544,0.8509797642633942,1.000001072883606,1.8435952644502152e-06,0.0,ok
so_expm,0.03,1,8.50207147352602,0.14746249236952594,0.8571338028396791,1.0000009536743164,1.3455163907494239e-06,1.7763568394002505e-15,ok
so_expm,0.1,1,8.51169125842603,0.14774587605062375,0.857439942296408,1.0000009536743164,2.7906929846999162e-06,0.0,ok
so_cayley,0.0003,1,6.724484613475861,0.14939265104918537,0.630763074402868,1.000001311302185,4.3235843261157925e-07,0.0,ok
so_cayley,0.003,1,7.977338955778235,0.1555110557621937,0.7789798124690852,1.0000009536743164,2.9786173572077246e-07,0.0,ok
so_cayley,0.01,1,8.357319512081794,0.16110436087432953,0.8183196311454598,1.0000009536743164,2.0154816793294117e-07,1.7763568394002505e-15,ok
so_cayley,0.03,1,8.34474740705632,0.15033643803820024,0.8327307199507331,1.0000007152557373,1.8676783097859584e-07,0.0,ok
