w,arm,seed,r_task,r_geo,auc,rho,align_env,align_ref,frob_env,frob_ref,gref_orth,recon_err,status
0.4,baseline_ppo,0,0.1888382065015251,0.5387519277841163,6.468694921088812,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,0,0.14927651753457025,0.8923004203623781,8.801884045656061,1.0000008344650269,0.8412327496960519,0.8412327496960519,0.8327358694794823,0.8327358694794823,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,0,0.1524039162089396,0.5048916234981424,5.7718766113242275,1.0000009536743164,0.013616855722005428,0.6927709694321071,0.02859452467681049,0.7445444310322824,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,0,0.15067312298365815,0.5260177239555478,5.914204712193945,1.0000008344650269,0.04671558445983241,0.7339300580488028,0.06104882716706942,0.7518916118301133,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+no_aux,0,0.15877324354443803,0.5174685923095638,5.948356302399669,1.0000009536743164,-0.015583397590928876,,-0.015828600384075797,,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,baseline_ppo,1,0.17890876808510978,0.5474137968316984,6.414925951869051,,,,,,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+M_env,1,0.14746249236952594,0.8571338028396791,8.50207147352602,1.0000009536743164,0.7396316663135625,0.7396316663135625,0.7591440881517114,0.7591440881517114,1.1920928955078125e-07,1.7763568394002505e-15,ok
0.4,so+G_ref,1,0.1619846755933904,0.4948787755279802,5.802564887975381,1.0000009536743164,-0.02000564500452919,0.8375791279778874,0.030560954209216045,0.8233925777075725,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+G_rand,1,0.1670690094420997,0.5360711000198343,6.191513675147094,1.0000008344650269,0.024943924260747742,0.7457264921419519,0.01644043708767539,0.7559925384278182,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,1,0.15247904439708768,0.5196808844676086,5.885164850811467,1.0000009536743164,0.014265623597746612,,0.009795841504156659,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,2,0.18803803511972347,0.5420253044457174,6.481804715438096,,,,,,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+M_env,2,0.14716708351625557,0.8570267513157801,8.495980419333135,1.0000009536743164,0.7654362120544823,0.7654362120544823,0.7963038626078777,0.7963038626078777,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,2,0.1587340177036443,0.5294659206096549,6.03682114967164,1.000001072883606,0.03687315134501641,0.7193927314584282,0.05567917714414681,0.7554208036246833,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,2,0.14475277004481166,0.5096091814796285,5.716689749005714,1.0000009536743164,0.007301507241204492,0.8582775740716594,0.00811144109382296,0.8061241478124161,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,2,0.157572951579055,0.5193053119483715,5.943871891485742,1.0000008344650269,0.04723097055692719,,0.015688432139796753,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,3,0.18732089477923466,0.545852695877136,6.503395465237937,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,3,0.15851171304932424,0.8379569599770942,8.482135154322703,1.0000008940696716,0.6882566805119508,0.6882566805119508,0.7445975978861007,0.7445975978861007,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,3,0.16353680310073024,0.5294703005826722,6.094991724425737,1.0000008940696716,0.003479283788799744,0.803525422773465,0.05014090657269674,0.8002897852197641,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+G_rand,3,0.16034941792002635,0.5302778248162553,6.069169014674723,1.000001072883606,0.05931130364448864,0.7805277098291492,0.006855324317943286,0.7898240279096098,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+no_aux,3,0.14612015849837576,0.5076831965481087,5.716433509747369,1.0000009536743164,-0.019157927494633558,,-0.0009588736485668811,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,4,0.1907717880093884,0.5599834830638332,6.658981081208576,,,,,,1.1920928955078125e-07,8.881784197001252e-16,ok
0.4,so+M_env,4,0.16530894888930878,0.8792396494646867,8.890901023098523,1.0000009536743164,0.7378315734022236,0.7378315734022236,0.7601581732288059,0.7601581732288059,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,4,0.14363715835101418,0.5263094119890437,5.834159899662163,1.0000009536743164,0.023222211172704097,0.8761139065607181,0.028561289821618933,0.8459294036299396,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,4,0.1603921118518711,0.5287937363517625,6.052891824441739,1.0000008344650269,0.06003232533777426,0.746153495850663,-0.007366474390661445,0.760904141045238,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,4,0.1610755782452072,0.5166630411670698,5.966459229335423,1.0000009536743164,-0.02725656004152143,,-0.009350990916723267,,1.1920928955078125e-07,0.0,ok
0.4,baseline_ppo,5,0.19191242380989923,0.5601332676424334,6.674923849939847,,,,,,1.1920928955078125e-07,0.0,ok
0.4,so+M_env,5,0.15769487695681375,0.8545766127337391,8.605070818353107,1.0000008344650269,0.7781836737671355,0.7781836737671355,0.7817197640351511,0.7817197640351511,1.1920928955078125e-07,0.0,ok
0.4,so+G_ref,5,0.18017658532686381,0.5420169691506153,6.3916881230010585,1.000001072883606,-0.005215679651760887,0.7880944731838994,0.017006755308562653,0.7919370235333815,1.1920928955078125e-07,0.0,ok
0.4,so+G_rand,5,0.1459099786976779,0.49438006577940347,5.610973743213377,1.0000009536743164,-0.01017826698123995,0.8352703064189264,0.0005937928116353182,0.8156163498399517,1.1920928955078125e-07,0.0,ok
0.4,so+no_aux,5,0.16570652250360415,0.5188057851881566,6.039504544460434,1.0000010132789612,0.007721137779033105,,-0.00033913517774380845,,1.1920928955078125e-07,0.0,ok
