seed,split,arm,prompt_idx,eval_seed,reward,status
0,train,control,1,2,0.6196777954699969,ok
0,train,structured,2,2,0.6154102878360015,ok
0,train,control,2,2,0.6229622263724247,ok
0,train,structured,3,2,0.59505431237531,ok
0,train,control,3,2,0.6312306174401519,ok
0,train,structured,4,2,0.6094725281410678,ok
0,train,control,4,2,0.6070569861205156,ok
0,train,structured,5,2,0.5916431246200543,ok
0,train,control,5,2,0.5942607028804365,ok
0,train,structured,6,2,0.6167438114028154,ok
0,train,control,6,2,0.6004099502527257,ok
0,train,structured,7,2,0.6112085966992775,ok
0,train,control,7,2,0.6242960431413829,ok
0,train,structured,8,2,0.6208129607596482,ok
0,train,control,8,2,0.6088223214912365,ok
0,train,structured,9,2,0.6149600452431108,ok
0,train,control,9,2,0.5839925364819776,ok
0,train,structured,10,2,0.5686474263852883,ok
0,train,control,10,2,0.5625047745697151,ok
0,train,structured,11,2,0.6199297074023606,ok
0,train,control,11,2,0.6173206118124317,ok
1,test,structured,0,0,0.6023559033865705,ok
1,test,control,0,0,0.6257891986371761,ok
1,test,structured,1,0,0.6062745489115366,ok
1,test,control,1,0,0.6169591165992554,ok
1,test,structured,2,0,0.6210559107247323,ok
1,test,control,2,0,0.7846551056993798,ok
1,test,structured,3,0,0.6550186634746892,ok
1,test,control,3,0,0.7933486409689444,ok
1,test,structured,4,0,0.6147715381652458,ok
1,test,control,4,0,0.6143221676692395,ok
1,test,structured,5,0,0.7338072976698056,ok
1,test,control,5,0,0.7866903083257158,ok
1,test,structured,6,0,0.736691005579184,ok
1,test,control,6,0,0.602192553614851,ok
1,test,structured,7,0,0.6017942934333764,ok
1,test,control,7,0,0.7948662757381005,ok
1,test,structured,8,0,0.6519987641535545,ok
1,test,control,8,0,0.785251424946541,ok
1,test,structured,9,0,0.7923326781787157,ok
1,test,control,9,0,0.7894499971580601,ok
1,test,structured,10,0,0.6363774027030576,ok
1,test,control,10,0,0.7596754523167017,ok
1,test,structured,11,0,0.6170059269283658,ok
1,test,control,11,0,0.7792836588867831,ok
1,test,structured,0,1,0.6352016780973028,ok
1,test,control,0,1,0.6303904601932909,ok
1,test,structured,1,1,0.6300935076738148,ok
1,test,control,1,1,0.6157264730376929,ok
1,test,structured,2,1,0.6230996372871322,ok
1,test,control,2,1,0.7846551056993798,ok
1,test,structured,3,1,0.6307042489329521,ok
1,test,control,3,1,0.7933486409689444,ok
1,test,structured,4,1,0.6280752928623425,ok
1,test,control,4,1,0.7642204531611164,ok
1,test,structured,5,1,0.662247522144783,ok
1,test,control,5,1,0.6151061937465361,ok
1,test,structured,6,1,0.5977731716463242,ok
1,test,control,6,1,0.6603082244000587,ok
1,test,structured,7,1,0.6397015733936229,ok
1,test,control,7,1,0.5847842808722986,ok
1,test,structured,8,1,0.6281753457185308,ok
1,test,control,8,1,0.7361356029463131,ok
1,test,structured,9,1,0.6600924999138017,ok
1,test,control,9,1,0.775736232689618,ok
1,test,structured,10,1,0.5943734102270427,ok
1,test,control,10,1,0.6055349274414358,ok
1,test,structured,11,1,0.6423341415493007,ok
1,test,control,11,1,0.7792836588867831,ok
1,test,structured,0,2,0.6066570517943017,ok
1,test,control,0,2,0.6261365609955132,ok
1,test,structured,1,2,0.619857057871081,ok
1,test,control,1,2,0.6417001471744015,ok
1,test,structured,2,2,0.60935310499396,ok
1,test,control,2,2,0.7846551056993798,ok
1,test,structured,3,2,0.6077487963018667,ok
1,test,control,3,2,0.7933486409689444,ok
1,test,structured,4,2,0.5859638590915627,ok
1,test,control,4,2,0.7642204531611164,ok
1,test,structured,5,2,0.6495628601229346,ok
1,test,control,5,2,0.7370958668321828,ok
1,test,structured,6,2,0.6439316808938776,ok
1,test,control,6,2,0.7402133833404462,ok
1,test,structured,7,2,0.6464765758765758,ok
1,test,control,7,2,0.7948662757381005,ok
1,test,structured,8,2,0.6617778437255847,ok
1,test,control,8,2,0.627862085733685,ok
1,test,structured,9,2,0.6267517925471321,ok
1,test,control,9,2,0.7894499971580601,ok
1,test,structured,10,2,0.6117037224749972,ok
1,test,control,10,2,0.6927949942033952,ok
1,test,structured,11,2,0.7403720838521386,ok
1,test,control,11,2,0.7792836588867831,ok
1,train,structured,0,0,0.6051416890268159,ok
1,train,control,0,0,0.7892035901070698,ok
1,train,structured,1,0,0.6074039249232378,ok
1,train,control,1,0,0.6301250941946219,ok
1,train,structured,2,0,0.6045963242018282,ok
1,train,control,2,0,0.6295459282220415,ok
1,train,structured,3,0,0.649678798286414,ok
1,train,control,3,0,0.6216142817809531,ok
1,train,structured,4,0,0.6260936450704817,ok
1,train,control,4,0,0.7998340066718048,ok
1,train,structured,5,0,0.635262938462248,ok
1,train,control,5,0,0.7800632815072588,ok
1,train,structured,6,0,0.6996200845287184,ok
1,train,control,6,0,0.7386852536128039,ok
1,train,structured,7,0,0.5977652780717181,ok
1,train,control,7,0,0.7476629592094489,ok
1,train,structured,8,0,0.6299406221588835,ok
1,train,control,8,0,0.7801267461167821,ok
1,train,structured,9,0,0.6041883283203414,ok
1,train,control,9,0,0.582425062276543,ok
1,train,structured,10,0,0.636467790680738,ok
1,train,control,10,0,0.5951130863068111,ok
