w,c_geo,arm,seed,r_task,r_geo,auc,rho,recon_err,status
0.0,,baseline_ppo,0,0.21909454240380435,0.5353941360151706,4.323469174663915,,8.881784197001252e-16,ok
0.0,0.0,so(32),0,0.1884523118734363,0.4974850418980543,3.7162898448418367,1.0000009536743164,8.881784197001252e-16,ok
0.0,0.05,so(32),0,0.19022278813124055,0.7728478534314781,3.748628063985104,1.000001072883606,0.0,ok
0.0,0.25,so(32),0,0.19018670737453963,0.8478348734240667,3.7493659658397984,1.0000008940696716,0.0,ok
0.0,1.0,so(32),0,0.19397221065664283,0.8802273527914036,3.8261037956020525,1.0000009536743164,0.0,ok
0.0,,baseline_ppo,1,0.2154133307316236,0.5214412602665213,4.2396521061973615,,0.0,ok
0.0,0.0,so(32),1,0.18921168512810296,0.5074772748288853,3.722243323561463,1.0000009536743164,0.0,ok
0.0,0.05,so(32),1,0.18986596918828608,0.7813049339807903,3.7379589083781517,1.000001072883606,0.0,ok
0.0,0.25,so(32),1,0.17268785601428133,0.8589539362244928,3.3968060616543454,1.0000009536743164,4.440892098500626e-16,ok
0.0,1.0,so(32),1,0.1885591181822737,0.8445332973850892,3.712161398138796,1.0000008344650269,0.0,ok
0.0,,baseline_ppo,2,0.22309855819492388,0.5294670643771067,4.398196265185092,,0.0,ok
0.0,0.0,so(32),2,0.19363810883908894,0.5404637497563846,3.8126591948226016,1.0000011324882507,0.0,ok
0.0,0.05,so(32),2,0.17833130674841366,0.7975334310029943,3.5067492379667184,1.000001072883606,0.0,ok
0.0,0.25,so(32),2,0.1915815697134846,0.8757103269013267,3.772712458803662,1.0000009536743164,0.0,ok
0.0,1.0,so(32),2,0.19143008826591099,0.8871227388436596,3.773466774212983,1.0000008344650269,0.0,ok
0.0,,baseline_ppo,3,0.215878882049917,0.5366060835014096,4.253407925927784,,0.0,ok
0.0,0.0,so(32),3,0.19351434920792018,0.5214350414347368,3.8109649202623306,1.000001072883606,0.0,ok
0.0,0.05,so(32),3,0.1857613317550386,0.7862746133722055,3.6595127484514007,1.000001072883606,0.0,ok
0.0,0.25,so(32),3,0.18771647536578412,0.8428559545572614,3.6945437851786425,1.0000009536743164,0.0,ok
0.0,1.0,so(32),3,0.1843699877681738,0.8414855135644165,3.6302184700488414,1.0000008940696716,0.0,ok
0.0,,baseline_ppo,4,0.2103718129656208,0.5146878700869778,4.14337004664561,,0.0,ok
0.0,0.0,so(32),4,0.1973721331130826,0.5245796634336313,3.8847892332005936,1.0000009536743164,0.0,ok
0.0,0.05,so(32),4,0.1853037513709705,0.7744310839905714,3.64904894936821,1.0000011920928955,0.0,ok
0.0,0.25,so(32),4,0.1924032088325761,0.8358583759330835,3.7944045429619817,1.0000009536743164,0.0,ok
0.0,1.0,so(32),4,0.2019479996903766,0.8501892153793326,3.9824438085109852,1.0000009536743164,0.0,ok
0.0,,baseline_ppo,5,0.21521086515900442,0.5271461539383357,4.240602915375769,,0.0,ok
0.0,0.0,so(32),5,0.20696703887504125,0.48161572723166707,4.0774332228931165,1.000001072883606,0.0,ok
0.0,0.05,so(32),5,0.19267584208556174,0.7758404960203295,3.79705612502316,1.0000011920928955,0.0,ok
0.0,0.25,so(32),5,0.19144549773994587,0.8428399017738178,3.7666436424483667,1.0000008344650269,4.440892098500626e-16,ok
0.0,1.0,so(32),5,0.18476961102474493,0.8661664027069388,3.635897212961537,1.0000009536743164,0.0,ok
0.0,,baseline_ppo,6,0.20569507951135751,0.5277865652729136,4.047670442065527,,0.0,ok
0.0,0.0,so(32),6,0.18205604418558669,0.5048884164994427,3.585688799098033,1.000001072883606,0.0,ok
0.0,0.05,so(32),6,0.19141476993445644,0.7803581997957701,3.773935763262273,1.000001072883606,0.0,ok
0.0,0.25,so(32),6,0.18240464001085951,0.8434946009010695,3.5928599521280247,1.000001072883606,0.0,ok
0.0,1.0,so(32),6,0.18109127054078472,0.8764982132778194,3.5643756899319565,1.0000008344650269,0.0,ok
0.0,,baseline_ppo,7,0.22139761746907105,0.522607904010856,4.365941677339661,,0.0,ok
0.0,0.0,so(32),7,0.19057368256375168,0.5157454847287386,3.7572755907226827,1.000001072883606,0.0,ok
0.0,0.05,so(32),7,0.18643148769267187,0.7743358533675317,3.67874493941435,1.000001072883606,4.440892098500626e-16,ok
0.0,0.25,so(32),7,0.19441619959556058,0.8450839775028793,3.8385192945347586,1.0000009536743164,0.0,ok
0.0,1.0,so(32),7,0.19086296212068762,0.8548551830532495,3.75876633747009,1.0000008344650269,0.0,ok
0.0,,baseline_ppo,8,0.2270698249266211,0.5264617142360036,4.479040836768252,,0.0,ok
0.0,0.0,so(32),8,0.19596879362869798,0.527868867420188,3.866562794152971,1.0000012516975403,0.0,ok
0.0,0.05,so(32),8,0.1907484177265843,0.7754973510607767,3.7638632956423552,1.000001072883606,0.0,ok
0.0,0.25,so(32),8,0.19298859060803544,0.8840748132916478,3.804312441292268,1.000001072883606,0.0,ok
0.0,1.0,so(32),8,0.18623883937044583,0.8857746045800237,3.6740008366636405,1.0000008344650269,0.0,ok
0.0,,baseline_ppo,9,0.21780610075995685,0.521015965687856,4.294440226580656,,0.0,ok
0.0,0.0,so(32),9,0.18936999266017543,0.5037767607351067,3.733780079509791,1.0000009536743164,0.0,ok
0.0,0.05,so(32),9,0.194658335893969,0.8010857048230245,3.8349234799503416,1.000001072883606,0.0,ok
0.0,0.25,so(32),9,0.191967998278949,0.8632133284156522,3.7781123566776347,1.0000009536743164,0.0,ok
0.0,1.0,so(32),9,0.18461138951092584,0.8784901636973023,3.6366656435902907,1.0000008344650269,0.0,ok
0.2,,baseline_ppo,0,0.20441982767805908,0.5387769072566803,5.344313621325804,,0.0,ok
0.2,0.0,so(32),0,0.18274994797326638,0.5010295370630454,4.854002948016229,1.0000008940696716,0.0,ok
0.2,0.05,so(32),0,0.15798091940044534,0.7818698874975866,5.570745331676764,1.000001072883606,8.881784197001252e-16,ok
0.2,0.25,so(32),0,0.1715470853389457,0.8510856087358047,6.063684164067619,1.0000008940696716,8.881784197001252e-16,ok
0.2,1.0,so(32),0,0.16638690219675625,0.8842419519845398,6.108494178252315,1.0000009536743164,8.881784197001252e-16,ok
0.2,,baseline_ppo,1,0.20102010947038354,0.5474196966954507,5.316483587895364,,8.881784197001252e-16,ok
0.2,0.0,so(32),1,0.16766303740090438,0.5228142546953634,4.694387921338736,1.0000009536743164,0.0,ok
0.2,0.05,so(32),1,0.16250971244133033,0.791681119766645,5.677572815633579,1.0000011920928955,0.0,ok
0.2,0.25,so(32),1,0.15707130017037937,0.8719162437432134,5.9146877902350665,1.000001072883606,0.0,ok
0.2,1.0,so(32),1,0.16777687551499723,0.8692947619469836,6.070593601288182,1.0000008940696716,8.881784197001252e-16,ok
0.2,,baseline_ppo,2,0.1989074406907692,0.5301198950189476,5.218140614900076,,0.0,ok
0.2,0.0,so(32),2,0.17507441813077435,0.5277780570638365,4.829213389391707,1.000001072883606,0.0,ok
0.2,0.05,so(32),2,0.15920018804142375,0.7878424917077179,5.612008325544788,1.0000011920928955,8.881784197001252e-16,ok
0.2,0.25,so(32),2,0.16155699153203257,0.8588662949065367,5.929240641744484,1.000001072883606,0.0,ok
0.2,1.0,so(32),2,0.15924566849038999,0.870404416126758,5.938827089681484,1.0000009536743164,0.0,ok
0.2,,baseline_ppo,3,0.20244784133144203,0.5440474375477993,5.329812153992022,,0.0,ok
0.2,0.0,so(32),3,0.179145392700382,0.5238101863432519,4.877885404295843,1.0000008344650269,8.881784197001252e-16,ok
0.2,0.05,so(32),3,0.166437571275089,0.7960112485057363,5.759798853638218,1.0000011920928955,0.0,ok
0.2,0.25,so(32),3,0.16110817347423115,0.8516154192499815,5.896726994914951,1.0000009536743164,0.0,ok
0.2,1.0,so(32),3,0.17478376326140074,0.862956861232221,6.156518177901435,1.0000008344650269,0.0,ok
0.2,,baseline_ppo,4,0.20483186344770232,0.536396100140363,5.340243613643095,,0.0,ok
